,tweet_id,viewpoint,incivility
1255527464434049029,1255527464434049029,L1,0.0
1255245053007663106,1255245053007663106,L1,0.0
1255258737121660929,1255258737121660929,L1,0.0
1255262004534706184,1255262004534706184,L1,0.0
1255255980151123969,1255255980151123969,L1,0.0
1255243028572393474,1255243028572393474,L1,1.0
1255263284690915328,1255263284690915328,L4,0.0
1255540003461124099,1255540003461124099,L1,0.0
1255251698098090000,1255251698098090000,L1,0.0
1255235185227988992,1255235185227988992,L1,0.0
1255266728663224321,1255266728663224321,L1,1.0
1255244846232670210,1255244846232670210,L1,1.0
1255238280762798080,1255238280762798080,L1,0.0
1255169027879473152,1255169027879473152,L2,0.0
1255170493914611712,1255170493914611712,L4,0.0
1255277361928511490,1255277361928511490,L2,0.0
1255275681459699712,1255275681459699712,L1,1.0
1255281087166779393,1255281087166779393,L1,0.0
1255303071917322240,1255303071917322240,L1,0.0
1255343507893518336,1255343507893518336,L1,1.0
1255278118782283778,1255278118782283778,L1,1.0
1255287758190522375,1255287758190522375,L1,1.0
1255288447339823107,1255288447339823107,L2,0.0
1255511788617191425,1255511788617191425,L1,0.0
1255278879415111680,1255278879415111680,L1,0.0
1255219797635334144,1255219797635334144,L1,0.0
1255171890156576768,1255171890156576768,L4,1.0
1255172188145147904,1255172188145147904,L1,0.0
1256681425908256768,1256681425908256768,L3,1.0
1263630926216658944,1263630926216658944,L1,1.0
1300878401696403456,1300878401696403456,L1,0.0
1257475500349554690,1257475500349554690,L1,0.0
1257128898145529868,1257128898145529868,L1,0.0
1257353750181797902,1257353750181797902,L1,1.0
1258908700288393220,1258908700288393220,L1,0.0
1270185315639144448,1270185315639144448,L1,0.0
1257047702128427008,1257047702128427008,L1,1.0
1257268641541873664,1257268641541873664,L1,0.0
1256959149268545541,1256959149268545541,L1,0.0
1273063825529544705,1273063825529544705,L2,1.0
1291215634584526848,1291215634584526848,L1,1.0
1254897478719004673,1254897478719004673,L1,0.0
1257785902501412866,1257785902501412866,L1,0.0
1257996922108940288,1257996922108940288,L1,0.0
1260267510093484034,1260267510093484034,L1,1.0
1257352228584796164,1257352228584796164,L1,0.0
1254915081227456523,1254915081227456523,L4,0.0
1259226200658128902,1259226200658128902,L1,0.0
1259126036773527554,1259126036773527554,L1,0.0
1256683964535910401,1256683964535910401,L1,0.0
1257159910762176519,1257159910762176519,L1,0.0
1254885988137963520,1254885988137963520,L1,0.0
1256938966810537986,1256938966810537986,L1,0.0
1257257810565435392,1257257810565435392,L1,1.0
1258654316245762050,1258654316245762050,L1,0.0
1256723299704266752,1256723299704266752,L1,0.0
1256820405840437248,1256820405840437248,L1,1.0
1254922740886208512,1254922740886208512,L1,0.0
1257138159957291021,1257138159957291021,L1,1.0
1254906270861209600,1254906270861209600,L1,1.0
1262299168921530368,1262299168921530368,L1,1.0
1257333991390285825,1257333991390285825,L1,1.0
1257096274387615747,1257096274387615747,L1,0.0
1257785743965110272,1257785743965110272,L1,0.0
1263549333007470600,1263549333007470600,L1,1.0
1255165695719084032,1255165695719084032,L1,1.0
1258653558855139329,1258653558855139329,L1,1.0
1260987298172284933,1260987298172284933,L1,1.0
1300878923576881152,1300878923576881152,L1,0.0
1254885678808096768,1254885678808096768,L1,0.0
1257025315542425601,1257025315542425601,L1,0.0
1256906016559595520,1256906016559595520,L1,0.0
1257700983901044736,1257700983901044736,L1,1.0
1257724151902515201,1257724151902515201,L1,0.0
1256683158151593984,1256683158151593984,L1,1.0
1254886273577336834,1254886273577336834,L1,0.0
1256958241726058498,1256958241726058498,L1,1.0
1254895872158007297,1254895872158007297,L1,0.0
1256964883301773312,1256964883301773312,L1,0.0
1256877211711242244,1256877211711242244,L1,0.0
1284981142500843520,1284981142500843520,L1,0.0
1254885606536155137,1254885606536155137,L1,0.0
1257453391414001664,1257453391414001664,L1,0.0
1254885362641575937,1254885362641575937,L1,0.0
1257153876198928385,1257153876198928385,L1,0.0
1257143180236996608,1257143180236996608,L1,0.0
1254971386738679809,1254971386738679809,L1,1.0
1255303462562271232,1255303462562271232,L1,0.0
1255320150397669376,1255320150397669376,L1,0.0
1255484954915622913,1255484954915622913,L1,1.0
1255335110783746050,1255335110783746050,L1,0.0
1255337455324139525,1255337455324139525,L1,0.0
1255958014365822976,1255958014365822976,L1,0.0
1255346797188349954,1255346797188349954,L1,0.0
1255255728278900739,1255255728278900739,L4,0.0
1255585720330186752,1255585720330186752,L1,0.0
1255487085143887879,1255487085143887879,L3,1.0
1255390085664722946,1255390085664722946,L3,0.0
1255257664973668354,1255257664973668354,L1,0.0
1255940538395697152,1255940538395697152,L3,0.0
1255673742476357638,1255673742476357638,L1,0.0
1255299752251609089,1255299752251609089,L2,0.0
1255479677243871240,1255479677243871240,L1,1.0
1255359167130370049,1255359167130370049,L1,1.0
1255585593532260353,1255585593532260353,L3,0.0
1255334722231848960,1255334722231848960,L2,1.0
1255450570497892352,1255450570497892352,L1,0.0
1255369260915986432,1255369260915986432,L3,1.0
1255975072117821440,1255975072117821440,L1,0.0
1255508743015538688,1255508743015538688,L1,0.0
1255348107161845760,1255348107161845760,L1,0.0
1255579395177226241,1255579395177226241,L1,0.0
1255343774668140544,1255343774668140544,L1,0.0
1255299999925252097,1255299999925252097,L1,0.0
1255346293821583360,1255346293821583360,L2,0.0
1255303728757977091,1255303728757977091,L1,0.0
1255522284758093827,1255522284758093827,L1,0.0
1255298868532645892,1255298868532645892,L1,0.0
1255299406976495616,1255299406976495616,L1,0.0
1255371231974604800,1255371231974604800,L1,0.0
1255298278251528192,1255298278251528192,L1,0.0
1255295752714227712,1255295752714227712,L1,0.0
1255352649085530112,1255352649085530112,L1,0.0
1255298761703727105,1255298761703727105,L3,1.0
1255336819383832579,1255336819383832579,L4,1.0
1255327506674130944,1255327506674130944,L3,1.0
1255449139883761669,1255449139883761669,L3,0.0
1255309959761444865,1255309959761444865,L3,1.0
1255295810138406913,1255295810138406913,L1,0.0
1255538320362348547,1255538320362348547,L1,0.0
1255296018377248769,1255296018377248769,L1,0.0
1255295118967484416,1255295118967484416,L1,1.0
1255304616071385088,1255304616071385088,L1,1.0
1255291789692538880,1255291789692538880,L2,1.0
1255408027219492865,1255408027219492865,L1,0.0
1255501162981228545,1255501162981228545,L1,1.0
1255386312531730432,1255386312531730432,L1,0.0
1255493150707191811,1255493150707191811,L1,0.0
1255370040347627521,1255370040347627521,L1,0.0
1255296777965785088,1255296777965785088,L3,0.0
1255456646832295938,1255456646832295938,L1,0.0
1255533937457274882,1255533937457274882,L1,0.0
1255482735361241090,1255482735361241090,L1,1.0
1255306255373139968,1255306255373139968,L1,0.0
1255487476287881217,1255487476287881217,L1,0.0
1255350590407954433,1255350590407954433,L1,1.0
1255524779026677760,1255524779026677760,L1,1.0
1255397218800066566,1255397218800066566,L1,1.0
1255359578600083460,1255359578600083460,L1,0.0
1255374286858190850,1255374286858190850,L1,0.0
1255539622815436800,1255539622815436800,L1,1.0
1255365427229794307,1255365427229794307,L1,0.0
1255365325115326466,1255365325115326466,L1,0.0
1255521696972488707,1255521696972488707,L1,0.0
1255341386238484481,1255341386238484481,L1,1.0
1255572997802463235,1255572997802463235,L4,1.0
1255444104751861760,1255444104751861760,L1,0.0
1255348884613849088,1255348884613849088,L1,0.0
1255357923640909826,1255357923640909826,L1,0.0
1255470536139948041,1255470536139948041,L1,0.0
1255348004644704256,1255348004644704256,L1,1.0
1255497022846775298,1255497022846775298,L1,1.0
1255357349457518593,1255357349457518593,L1,0.0
1255458161848442880,1255458161848442880,L1,0.0
1255484880970014721,1255484880970014721,L1,0.0
1255586132466728962,1255586132466728962,L1,0.0
1255376386497351681,1255376386497351681,L1,1.0
1255530147110948872,1255530147110948872,L1,1.0
1255636815249199105,1255636815249199105,L1,1.0
1255477180714319881,1255477180714319881,L1,1.0
1255405515749888007,1255405515749888007,L1,0.0
1255452183908298754,1255452183908298754,L1,0.0
1255297803737337857,1255297803737337857,L1,0.0
1255518488371892226,1255518488371892226,L1,0.0
1255409618727075849,1255409618727075849,L1,0.0
1255342853611495425,1255342853611495425,L2,1.0
1255513499599605760,1255513499599605760,L1,0.0
1255465287262121985,1255465287262121985,L1,0.0
1255408095452430336,1255408095452430336,L1,1.0
1255528172726165505,1255528172726165505,L1,0.0
1255482980405063682,1255482980405063682,L1,1.0
1255431984228315142,1255431984228315142,L1,0.0
1255370888670785536,1255370888670785536,L1,0.0
1256481278276202496,1256481278276202496,L1,0.0
1255370873789460481,1255370873789460481,L1,0.0
1255524356538732544,1255524356538732544,L1,0.0
1255343356730920960,1255343356730920960,L1,0.0
1255188705238675456,1255188705238675456,L1,1.0
1255165938330198021,1255165938330198021,L1,1.0
1255164687555063808,1255164687555063808,L1,0.0
1255164647482593286,1255164647482593286,L1,1.0
1255613459015716864,1255613459015716864,L1,0.0
1255167802421309440,1255167802421309440,L1,0.0
1255284846609432576,1255284846609432576,L1,0.0
1255227623933911046,1255227623933911046,L1,0.0
1255164063111278597,1255164063111278597,L1,1.0
1255194282035523584,1255194282035523584,L1,1.0
1256664811330351104,1256664811330351104,L1,0.0
1255174430654902274,1255174430654902274,L1,0.0
1255166013642956801,1255166013642956801,L1,0.0
1255165171707887617,1255165171707887617,L1,1.0
1255178529618096134,1255178529618096134,L1,1.0
1255180528313131011,1255180528313131011,L1,1.0
1255174411411492864,1255174411411492864,L1,0.0
1255166898137968640,1255166898137968640,L1,0.0
1255169427148021761,1255169427148021761,L1,0.0
1255212713841696771,1255212713841696771,L1,0.0
1255173632281763848,1255173632281763848,L1,0.0
1255226188236296193,1255226188236296193,L1,0.0
1255168158748389376,1255168158748389376,L1,1.0
1255176013647974405,1255176013647974405,L1,0.0
1255179759677575168,1255179759677575168,L1,1.0
1255166179418738688,1255166179418738688,L1,1.0
1255230219176247312,1255230219176247312,L1,0.0
1255215805362507776,1255215805362507776,L1,0.0
1255171698049105921,1255171698049105921,L1,0.0
1255210192842551301,1255210192842551301,L1,1.0
1255168190478499848,1255168190478499848,L1,0.0
1255370388357464067,1255370388357464067,L1,0.0
1255361227347329024,1255361227347329024,L1,0.0
1255167704014688256,1255167704014688256,L1,1.0
1255169906275909632,1255169906275909632,L1,0.0
1255285740717641729,1255285740717641729,L1,0.0
1255195690277326848,1255195690277326848,L1,0.0
1255164637710082048,1255164637710082048,L1,0.0
1255165021631340548,1255165021631340548,L1,1.0
1255371419770408960,1255371419770408960,L1,0.0
1255172065298206723,1255172065298206723,L1,0.0
1255165724324233219,1255165724324233219,L1,1.0
1255178247135825920,1255178247135825920,L1,1.0
1255167458975125504,1255167458975125504,L2,0.0
1255166144937259015,1255166144937259015,L1,0.0
1255176646652542978,1255176646652542978,L1,0.0
1255180231385550848,1255180231385550848,L1,0.0
1255168372393889792,1255168372393889792,L1,0.0
1255206002150051842,1255206002150051842,L1,1.0
1255335551080767489,1255335551080767489,L1,0.0
1255147299006603272,1255147299006603272,L1,0.0
1255260740333731842,1255260740333731842,L1,0.0
1255209400354197504,1255209400354197504,L1,1.0
1255131358327947264,1255131358327947264,L1,0.0
1255205549068648448,1255205549068648448,L1,0.0
1255136689145565185,1255136689145565185,L1,1.0
1255147253532000257,1255147253532000257,L1,0.0
1255166853435084803,1255166853435084803,L1,0.0
1255357404264480768,1255357404264480768,L1,0.0
1255361430049652737,1255361430049652737,L1,0.0
1255357050080673795,1255357050080673795,L1,0.0
1255171790848040962,1255171790848040962,L1,0.0
1255197140910997504,1255197140910997504,L1,0.0
1255209774280511489,1255209774280511489,L1,1.0
1255172803940306946,1255172803940306946,L1,0.0
1255260478613397505,1255260478613397505,L1,0.0
1255183477651226626,1255183477651226626,L1,0.0
1255246808659496961,1255246808659496961,L1,0.0
1255192912436113409,1255192912436113409,L1,0.0
1255209096971792385,1255209096971792385,L1,0.0
1255245745508286470,1255245745508286470,L1,0.0
1255166094647623682,1255166094647623682,L1,1.0
1255138451164327936,1255138451164327936,L1,1.0
1255139781161349124,1255139781161349124,L1,0.0
1255207989482528768,1255207989482528768,L1,0.0
1255143593078951948,1255143593078951948,L1,0.0
1255173802272665600,1255173802272665600,L1,0.0
1255237425598693381,1255237425598693381,L1,0.0
1255163550588456960,1255163550588456960,L1,0.0
1255157616017313796,1255157616017313796,L1,0.0
1255202048594894848,1255202048594894848,L1,0.0
1255172929001869318,1255172929001869318,L1,0.0
1255173893217796096,1255173893217796096,L1,0.0
1255516775820734468,1255516775820734468,L1,0.0
1255190364102766596,1255190364102766596,L1,0.0
1255163349119250433,1255163349119250433,L1,1.0
1255276927675510784,1255276927675510784,L1,0.0
1255286300044922883,1255286300044922883,L1,1.0
1255180090792607745,1255180090792607745,L1,0.0
1255157239796695040,1255157239796695040,L1,0.0
1255142202742726664,1255142202742726664,L1,0.0
1255167477912416257,1255167477912416257,L1,0.0
1255200021252837378,1255200021252837378,L1,0.0
1255208457663381505,1255208457663381505,L1,0.0
1255133420843220995,1255133420843220995,L1,0.0
1255179083668996096,1255179083668996096,L1,0.0
1255167863482134528,1255167863482134528,L1,0.0
1255175026942320640,1255175026942320640,L3,1.0
1255209141154590721,1255209141154590721,L1,0.0
1255145261472464896,1255145261472464896,L1,0.0
1255308826850529280,1255308826850529280,L1,1.0
1255365782105739267,1255365782105739267,L4,0.0
1255293344676225024,1255293344676225024,L4,0.0
1255294611507023873,1255294611507023873,L1,1.0
1255320654808834048,1255320654808834048,L1,0.0
1255296007618912256,1255296007618912256,L1,1.0
1255309797945151488,1255309797945151488,L1,0.0
1255317874509524992,1255317874509524992,L1,0.0
1255297504570155010,1255297504570155010,L1,0.0
1255373435875844097,1255373435875844097,L1,0.0
1255373198536912896,1255373198536912896,L1,1.0
1255297450643992578,1255297450643992578,L1,0.0
1255297327486681089,1255297327486681089,L1,0.0
1255298189818814464,1255298189818814464,L2,0.0
1255311635394236419,1255311635394236419,L1,0.0
1255265310355197952,1255265310355197952,L3,0.0
1255526752262242305,1255526752262242305,L1,0.0
1255224439635169284,1255224439635169284,L1,0.0
1255237379729887234,1255237379729887234,L1,1.0
1255570611625025537,1255570611625025537,L1,0.0
1255539265406029824,1255539265406029824,L1,0.0
1255549693700067329,1255549693700067329,L1,0.0
1255249648022937600,1255249648022937600,L1,0.0
1255533706489614336,1255533706489614336,L1,0.0
1255549228266512388,1255549228266512388,L1,0.0
1255287468540203008,1255287468540203008,L1,0.0
1255534124133232641,1255534124133232641,L1,0.0
1255287427691839490,1255287427691839490,L1,1.0
1255249030734655490,1255249030734655490,L1,0.0
1255548589343780865,1255548589343780865,L1,0.0
1255272820780785664,1255272820780785664,L1,1.0
1255237266466844679,1255237266466844679,L1,1.0
1255289258233008128,1255289258233008128,L1,0.0
1255223895399051267,1255223895399051267,L1,0.0
1255401218559684609,1255401218559684609,L1,0.0
1255262276048826373,1255262276048826373,L1,0.0
1255569142100320256,1255569142100320256,L1,0.0
1255225945520308224,1255225945520308224,L1,1.0
1255532685252059141,1255532685252059141,L1,0.0
1255232910719963146,1255232910719963146,L1,0.0
1255519243006873600,1255519243006873600,L1,0.0
1255225791517990913,1255225791517990913,L1,0.0
1255266427143159812,1255266427143159812,L1,0.0
1255265941975416834,1255265941975416834,L1,1.0
1255550298849857536,1255550298849857536,L1,0.0
1255526991538851847,1255526991538851847,L1,0.0
1255234911381991425,1255234911381991425,L1,0.0
1255232595337654274,1255232595337654274,L1,0.0
1255310520783196161,1255310520783196161,L1,0.0
1255226254363680773,1255226254363680773,L1,0.0
1255226203511959554,1255226203511959554,L1,0.0
1255230453713457153,1255230453713457153,L1,0.0
1255558963283836929,1255558963283836929,L1,0.0
1255541305842610176,1255541305842610176,L1,0.0
1255223893159219209,1255223893159219209,L1,0.0
1255230736245940224,1255230736245940224,L1,1.0
1255288985548664836,1255288985548664836,L1,0.0
1255311498760654848,1255311498760654848,L1,1.0
1255283792304132096,1255283792304132096,L3,1.0
1255229806708490241,1255229806708490241,L1,1.0
1255717433094008832,1255717433094008832,L1,1.0
1255225566749503491,1255225566749503491,L1,1.0
1255533512008044545,1255533512008044545,L1,1.0
1255295690785337344,1255295690785337344,L1,0.0
1255438154225639424,1255438154225639424,L4,0.0
1255648639650877440,1255648639650877440,L1,0.0
1255199704746471424,1255199704746471424,L1,0.0
1255890781132423168,1255890781132423168,L1,0.0
1255171670861545472,1255171670861545472,L3,1.0
1255844482634973184,1255844482634973184,L1,1.0
1256179487772983296,1256179487772983296,L1,1.0
1255474988766896131,1255474988766896131,L1,0.0
1255845222640168961,1255845222640168961,L1,0.0
1255869564568645632,1255869564568645632,L1,1.0
1255220621795082241,1255220621795082241,L1,1.0
1256182172073033733,1256182172073033733,L1,0.0
1255815581502144512,1255815581502144512,L1,1.0
1255220725847293953,1255220725847293953,L1,1.0
1255437513990299655,1255437513990299655,L1,1.0
1255477211492122624,1255477211492122624,L1,0.0
1255442093650186240,1255442093650186240,L1,0.0
1255182014417903628,1255182014417903628,L1,0.0
1255170406643892228,1255170406643892228,L1,0.0
1255172343896383492,1255172343896383492,L1,0.0
1255264849896054784,1255264849896054784,L1,0.0
1255251987362439169,1255251987362439169,L1,0.0
1255324191840260097,1255324191840260097,L1,0.0
1255329248002310145,1255329248002310145,L1,0.0
1255283924558807042,1255283924558807042,L1,1.0
1255519429095575554,1255519429095575554,L1,0.0
1279110162788343808,1279110162788343808,L1,1.0
1255338639674015744,1255338639674015744,L1,0.0
1255341135238778882,1255341135238778882,L1,1.0
1255359519389032450,1255359519389032450,L1,1.0
1255146083442810886,1255146083442810886,L1,0.0
1255266067976519682,1255266067976519682,L1,0.0
1255288269404868610,1255288269404868610,L1,1.0
1255317060378378240,1255317060378378240,L1,1.0
1255267094322651136,1255267094322651136,L1,1.0
1255529345726152704,1255529345726152704,L1,1.0
1255290544869322753,1255290544869322753,L1,0.0
1279108156413693956,1279108156413693956,L1,1.0
1255147638963331072,1255147638963331072,L1,0.0
1255301658063638528,1255301658063638528,L1,1.0
1255272239215280135,1255272239215280135,L1,0.0
1255288035459112963,1255288035459112963,L1,0.0
1255623178715426816,1255623178715426816,L1,0.0
1255282193225703426,1255282193225703426,L1,1.0
1255144875613274113,1255144875613274113,L1,0.0
1255266558034706432,1255266558034706432,L1,0.0
1256041832963665920,1256041832963665920,L1,0.0
1255622092927700992,1255622092927700992,L1,1.0
1255247047739027460,1255247047739027460,L1,0.0
1255281433997910018,1255281433997910018,L1,1.0
1255734406158913539,1255734406158913539,L1,1.0
1255319027708235777,1255319027708235777,L1,0.0
1255290158280331266,1255290158280331266,L1,0.0
1255264132137353216,1255264132137353216,L1,0.0
1255330124452564992,1255330124452564992,L1,1.0
1255470522298773507,1255470522298773507,L1,1.0
1255143548392894464,1255143548392894464,L3,1.0
1255364896763633664,1255364896763633664,L1,1.0
1255260030791823360,1255260030791823360,L1,1.0
1255624316567187457,1255624316567187457,L1,1.0
1255316594378649602,1255316594378649602,L1,0.0
1255484354567995394,1255484354567995394,L1,1.0
1255435979944595456,1255435979944595456,L1,0.0
1255287894778019840,1255287894778019840,L1,1.0
1255262202027823104,1255262202027823104,L2,1.0
1255339093057327104,1255339093057327104,L1,1.0
1255297130211745792,1255297130211745792,L1,0.0
1255286454584053762,1255286454584053762,L1,0.0
1255448459064291330,1255448459064291330,L1,0.0
1255518939867746304,1255518939867746304,L1,0.0
1255147662128508930,1255147662128508930,L1,0.0
1255364878988124162,1255364878988124162,L1,1.0
